ItineraryID,Spot1,Spot2,Spot3,Spot4,Spot5,Historical,Nature,Religious,Art,Activities,Entertainment,Culture,,,Context,link to itinerary
1,Basilica Minore Del Santo Nino,Magellan’s Cross,"Fort San Pedro
",Heritage of Cebu Monument,"Cebu Taoist Temple
",5,0,2,1,0,0,2,,,First 5 places only,https://www.cebutours.ph/package/half-day-cebu-city-tour/
2,Sirao Garden,La Vie in the Sky,Temple of Leah,Simala Shrine (Monastery of the Holy Eucharist),,2,2,1,1,0,1,2,,,"Tops Lookout is temporarily closed, La Vie in the Sky is temporary replacement",https://www.cebutours.ph/package/simala-church-temple-of-leah-sirao-garden-tops-of-cebu/
3,Basilica Minore Del Santo Nino,Magellan’s Cross,Fort San Pedro,"Heritage of Cebu Monument",Yap-San Diego Ancestral House,5,0,1,0,0,0,2,,,First 5 places out of 11 places,https://www.cebutours.ph/package/cebu-and-lapu-lapu-city-tour/
4,Alegre Guitar Factory,Mactan Shrine,Cebu Taoist Temple,Temple of Leah,Tops Lookout,4,1,1,2,0,1,3,,,Places 6-10 of link,https://www.cebutours.ph/package/cebu-and-lapu-lapu-city-tour/
5,Temple of Leah,Tops Lookout,Sirao Garden,Adventure Cafe and Zipline,Buwakan ni Alejandra,1,3,,1,1,2,1,,,,https://www.cebutours.ph/package/cebu-mountain-tour/
6,Cebu Provincial Museum,Heritage of Cebu Monument,Yap-San Diego Ancestral House,Magellan’s Cross,Basilica Minore Del Santo Nino,5,0,1,0,0,0,3,,,First 5 places out of 8 total places,https://www.travelcebu.ph/best-cebu-city-tour/
7,Sirao Garden,Temple of Leah,Cebu Taoist Temple,,,2,1,1,2,0,0,1,,,Places 6 to 8,https://www.travelcebu.ph/best-cebu-city-tour/
8,Simala Shrine (Monastery of the Holy Eucharist),Sirao Garden,Sachiko's Little Kyoto,Temple of Leah,,2,2,1,1,0,1,2,,,,https://www.kaganatours.com/simala-shrine-uphill-tour/
9,Buwakan ni Alejandra,Adventure Cafe and Zipline,Sirao Garden,Tops Lookout,Temple of Leah,1,3,0,1,1,2,1,,,"First 5 places only, also excluding first place (resort)",https://www.kaganatours.com/cebu-uphill-tour/
10,Sirao Garden,Temple of Leah,Cebu Taoist Temple,Yap-San Diego Ancestral House,Heritage of Cebu Monument,4,1,1,2,0,0,1,,,First 5 places only out of 9 total,https://www.kaganatours.com/cebu-city-tour-with-mactan-uphill/
11,Fort San Pedro,Magellan's Cross,Basilica Minore Del Santo Nino,Mactan Shrine,,4,0,1,0,0,0,3,,,Places 6-9 of link,https://www.kaganatours.com/cebu-city-tour-with-mactan-uphill/
12,Cebu Taoist Temple,Yap-San Diego Ancestral House,Heritage of Cebu Monument,Fort San Pedro,Magellan's Cross,5,0,1,1,0,0,1,,,First 5 places only out of 6 total,https://www.kaganatours.com/half-day-cebu-city-tour
13,Temple of Leah,Tops Lookout,La Vie in the Sky,10000 Roses Cafe,,1,3,0,1,0,3,1,,,,https://www.kaganatours.com/cebu-night-tour/
14,Simala Shrine (Monastery of the Holy Eucharist),Teofilo Camomot Shrine,Theotokos Shrine,Chapel of San Pedro Calungsod,,1,0,4,0,0,0,1,,,,https://www.kaganatours.com/cebu-pilgrimage-tour/
